X,dl_brate,usage_bbu,rf,lp,hp,lm,hm,lr,hr,pdc,rc
2.8719919,105.1149,2.988025,2.2410188,1.4342519,0.50796425,0.20916174,0.20916174,0.014940124,0.014940124,0.2988025,0.2988025
3.7334263,136.6434,3.0875435,2.3156576,1.4820209,0.5248824,0.21612805,0.21612805,0.015437718,0.015437718,0.30875435,0.30875435
6.1805196,226.207,3.5064406,2.6298304,1.6830915,0.5960949,0.24545084,0.24545084,0.017532203,0.017532203,0.35064408,0.35064408
3.8098087,139.439,3.0965621,2.3224216,1.4863498,0.5264156,0.21675935,0.21675935,0.01548281,0.01548281,0.30965623,0.30965623
2.2461312,82.2084,2.9361756,2.2021317,1.4093642,0.49914986,0.2055323,0.2055323,0.014680877,0.014680877,0.29361758,0.29361758
2.2306695,81.6425,2.9351115,2.2013335,1.4088535,0.49896896,0.2054578,0.2054578,0.014675558,0.014675558,0.29351115,0.29351115
2.038123,74.5953,2.92005,2.1900375,1.401624,0.4964085,0.20440349,0.20440349,0.014600249,0.014600249,0.292005,0.292005
1.9531667,71.4859,2.9124708,2.184353,1.3979859,0.49512005,0.20387296,0.20387296,0.0145623535,0.0145623535,0.2912471,0.2912471
1.9810382,72.506,2.9149573,2.186218,1.3991795,0.49554273,0.20404701,0.20404701,0.014574786,0.014574786,0.29149574,0.29149574
1.8767432,68.6888,2.905737,2.1793027,1.3947537,0.49397528,0.20340158,0.20340158,0.014528684,0.014528684,0.2905737,0.2905737
2.0899618,76.4926,2.9246743,2.1935058,1.4038436,0.49719462,0.2047272,0.2047272,0.014623371,0.014623371,0.29246745,0.29246745
1.6777705,61.4064,2.8914661,2.1685996,1.3879037,0.49154925,0.20240264,0.20240264,0.01445733,0.01445733,0.28914663,0.28914663
1.6160958,59.1491,2.887246,2.1654344,1.385878,0.4908318,0.2021072,0.2021072,0.014436229,0.014436229,0.2887246,0.2887246
1.6879236,61.778,2.8921735,2.16913,1.3882433,0.4916695,0.20245215,0.20245215,0.014460867,0.014460867,0.28921735,0.28921735
1.5519263,56.8005,2.8830268,2.16227,1.3838528,0.49011457,0.20181188,0.20181188,0.014415134,0.014415134,0.2883027,0.2883027
1.6251476,59.4804,2.887841,2.1658807,1.3861636,0.49093297,0.20214887,0.20214887,0.014439205,0.014439205,0.28878412,0.28878412
1.6868253,61.7378,2.892098,2.1690736,1.388207,0.49165666,0.20244686,0.20244686,0.014460489,0.014460489,0.2892098,0.2892098
1.598257,58.4962,2.8860734,2.164555,1.3853152,0.49063247,0.20202513,0.20202513,0.014430366,0.014430366,0.28860733,0.28860733
1.583123,57.9423,2.885078,2.1638083,1.3848374,0.49046326,0.20195545,0.20195545,0.0144253895,0.0144253895,0.2885078,0.2885078
1.6635056,60.8843,2.8904703,2.1678526,1.3874257,0.49137995,0.20233291,0.20233291,0.014452351,0.014452351,0.28904703,0.28904703
1.4814918,54.2226,2.8792765,2.1594574,1.3820527,0.489477,0.20154935,0.20154935,0.0143963825,0.0143963825,0.28792766,0.28792766
1.6281776,59.5913,2.8880403,2.1660302,1.3862593,0.49096686,0.20216282,0.20216282,0.014440201,0.014440201,0.28880402,0.28880402
1.6342815,59.8147,2.8884416,2.1663313,1.386452,0.49103507,0.2021909,0.2021909,0.014442207,0.014442207,0.28884417,0.28884417
1.5333662,56.1212,2.8818069,2.161355,1.3832673,0.48990718,0.20172648,0.20172648,0.014409034,0.014409034,0.28818068,0.28818068
1.5411804,56.4072,2.8823202,2.16174,1.3835137,0.48999444,0.20176241,0.20176241,0.0144116,0.0144116,0.28823203,0.28823203
1.6899673,61.8528,2.8923142,2.1692357,1.3883108,0.4916934,0.20246199,0.20246199,0.01446157,0.01446157,0.28923142,0.28923142
1.4709646,53.8373,2.8787832,2.1590874,1.3818159,0.48939314,0.20151483,0.20151483,0.014393915,0.014393915,0.28787833,0.28787833
1.649235,60.362,2.889479,2.1671093,1.3869499,0.4912114,0.20226352,0.20226352,0.014447394,0.014447394,0.2889479,0.2889479
1.5828034,57.9306,2.8850567,2.1637926,1.3848273,0.49045965,0.20195398,0.20195398,0.014425283,0.014425283,0.28850567,0.28850567
1.4129481,51.7139,2.8760645,2.1570485,1.3805109,0.48893097,0.20132452,0.20132452,0.014380323,0.014380323,0.28760645,0.28760645
1.7563689,64.2831,2.8967912,2.1725934,1.3904598,0.4924545,0.20277539,0.20277539,0.014483956,0.014483956,0.28967914,0.28967914
1.5370493,56.256,2.8820488,2.1615367,1.3833834,0.4899483,0.20174342,0.20174342,0.014410244,0.014410244,0.28820488,0.28820488
1.5831995,57.9451,2.8850832,2.1638124,1.3848399,0.49046415,0.20195583,0.20195583,0.014425416,0.014425416,0.28850833,0.28850833
1.6401176,60.0283,2.8888454,2.166634,1.3866458,0.49110374,0.20221919,0.20221919,0.014444227,0.014444227,0.28888455,0.28888455
