X,dl_brate,usage_bbu,rf,lp,hp,lm,hm,lr,hr,pdc,rc
14.700254,538.0293,10.835496,8.126622,5.201038,1.8420343,0.7584847,0.7584847,0.054177478,0.054177478,1.0835496,1.0835496
13.79629,504.9442,10.264825,7.698619,4.927116,1.7450203,0.71853775,0.71853775,0.05132412,0.05132412,1.0264825,1.0264825
8.984623,328.8372,7.3253865,5.49404,3.5161855,1.2453157,0.51277703,0.51277703,0.03662693,0.03662693,0.73253864,0.73253864
8.36358,306.107,6.967035,5.225276,3.3441765,1.1843959,0.48769245,0.48769245,0.034835175,0.034835175,0.6967035,0.6967035
16.423227,601.0901,11.939834,8.954875,5.73112,2.0297718,0.83578837,0.83578837,0.059699167,0.059699167,1.1939834,1.1939834
8.347825,305.5304,6.9581566,5.2186174,3.339915,1.1828866,0.48707098,0.48707098,0.03479078,0.03479078,0.6958157,0.6958157
6.69529,245.0476,6.060201,4.5451508,2.9088964,1.0302342,0.4242141,0.4242141,0.030301005,0.030301005,0.60602015,0.60602015
6.936309,253.8689,6.1865735,4.6399302,2.9695551,1.0517175,0.43306014,0.43306014,0.030932866,0.030932866,0.61865735,0.61865735
7.178153,262.7204,6.3134003,4.73505,3.030432,1.0732781,0.441938,0.441938,0.031567,0.031567,0.63134,0.63134
5.7181177,209.2831,5.593425,4.1950684,2.6848438,0.9508822,0.39153972,0.39153972,0.027967123,0.027967123,0.5593425,0.5593425
7.009445,256.5457,6.2249274,4.6686954,2.987965,1.0582377,0.4357449,0.4357449,0.031124637,0.031124637,0.62249273,0.62249273
6.3912954,233.9214,5.906219,4.429664,2.834985,1.0040573,0.41343534,0.41343534,0.029531095,0.029531095,0.5906219,0.5906219
5.4940166,201.081,5.492489,4.1193666,2.6363945,0.9337231,0.38447422,0.38447422,0.027462443,0.027462443,0.5492489,0.5492489
6.61126,241.9721,6.0166516,4.512489,2.8879926,1.0228308,0.42116562,0.42116562,0.030083258,0.030083258,0.6016652,0.6016652
6.636115,242.8818,6.029507,4.5221305,2.8941634,1.0250162,0.4220655,0.4220655,0.030147536,0.030147536,0.60295075,0.60295075
5.545724,202.9735,5.515778,4.1368337,2.6475735,0.9376823,0.38610446,0.38610446,0.02757889,0.02757889,0.5515778,0.5515778
